batter,total_runs
V Kohli,9050
RG Sharma,7185
S Dhawan,6769
DA Warner,6567
KL Rahul,5668
SK Raina,5536
MS Dhoni,5439
AM Rahane,5194
AB de Villiers,5181
SV Samson,5008
